Sentence ,Masked Sentence,Options,Truth,Options,Rule
"Breakfast was finished, the exploration was continued, and the settlers arrived at the border of the marshy region.","Breakfast <***> finished, the exploration was continued, and the settlers<***> at the border of the marshy region.","was,were*arrived,arrives",was*arrived,,S_V
"It was a marsh of which the extent, to the rounded coast which terminated the island at the southeast, was about twenty square miles.","It <***> a marsh of which the extent, to the rounded coast which terminated the island at the southeast, <***> about twenty square miles.","was,were*was,were",was*was,,S_V
"The soil was formed of clayey flint-earth, mingled with vegetable matter, such as the remains of rushes, reeds, grass, etc.","The soil <***> <***> of clayey flint-earth, mingled with vegetable matter, such as the remains of rushes, reeds, grass, etc.","was,were*formed,form",was*formed,,S_V
"Here and there beds of grass, thick as a carpet, covered itself with flowers.","Here and there beds of grass, thick as a carpet, <***> <***> with flowers.","covered,covers*itself,yourself",covered*itself,,S_V*R_A
"Neither rain nor any river, increased by a sudden swelling, could supply these ponds.","Neither rain nor any river, <***>by a sudden swelling, <***> supply these ponds.","increased,increases*could,would",increased*could,,S_V
They therefore naturally concluded that the marsh was fed by the infiltrations of the soil and it was really so.,They therefore naturally <***> that the marsh <***> fed by the infiltrations of the soil and it was really so.,"concluded,concludes*was,were",concluded*was,,S_V
"It was also to be feared that during the heat miasmas would arise, which might produce fevers.","It <***> also to be feared that during the heat miasmas <***> arise, which might produce fevers.","was,were*would,should",was*would,,S_V
"Above the aquatic plants, on the surface of the stagnant water, was fluttered with numbers of birds.","Above the aquatic plants, on the surface of the stagnant water, <***> <***>  with numbers of birds.","was,were*fluttered,flutters",was*fluttered,,S_V
"Wild duck, teal, snipe lived there in flocks, and those fearless birds allowed themselves to be easily approached.","Wild duck, teal, snipe <***> there in flocks, and those fearless birds allowed <***>to be easily approached.","lived,lives*themselves,ourselves",lived*themselves,,S_V*R_A
"One shot from a gun would certainly have brought down some dozen of the birds, they were so close together.","One shot from a gun <***> certainly have brought down some dozen of the birds, they <***>so close together.","would,should*were,was",would*were,,S_V
"The explorers were, however, obliged to content themselves with bows and arrows.","The explorers <***>, however, obliged to content <***> with bows and arrows.","were,are*themselves,ourselves",were*themselves,,S_V*R_A
"Top helped in the capture of these birds, whose name was given to this marshy part of the island.","Top <***> in the capture of these birds, whose name <***> given to this marshy part of the island.","helped,helps*was,were",helped*was,,S_V
"This intense cold lasted till the 15th of August, without, however, passing the degree of Fahrenheit already mentioned.","This intense cold <***> till the 15th of August, without, however, <***> the degree of Fahrenheit already mentioned.","lasted,lasts*passing,passes",lasted*passing,,S_V
"When the atmosphere was calm, the low temperature was easily borne, but when the wind blew, the poor settlers, insufficiently clothed, felt it severely.","When the atmosphere<***> calm, the low temperature <***>easily borne, but when the wind blew, the poor settlers, insufficiently clothed, felt it severely.","was,were*was,is",was*was,,S_V
Pencroft regretted that Lincoln Island was not the home of a few families of bears rather than of so many foxes and seals.,Pencroft <***> that Lincoln Island <***> not the home of a few families of bears rather than of so many foxes and seals.,"regretted,regrets*was,were",regretted*was,,S_V
"But, replied Neb, laughing, ""perhaps the bears would not consent to give you their cloaks, Pencroft.","But,<***> Neb, laughing, ""perhaps the bears <***> not consent to give you their cloaks, Pencroft.","replied,replies*would,should",replied*would,,S_V
"We would make them do it, Neb, we would make them, replied Pencroft, in quite an authoritative tone.","We <***> make them do it, Neb, we <***> make them, replied Pencroft, in quite an authoritative tone.","would,won't*would,won't",would*would,,S_V
"But these formidable carnivora did not exist in the island, or at any rate they had not yet shown themselves.","But these formidable carnivora <***> exist in the island, or at any rate they had not yet shown <***>.","didn't,doesn't*themselves,ourselves",didn't*themselves,,N_P_I*R_A
"In the meanwhile, Herbert, Pencroft, and the reporter occupied themselves with making traps on Prospect Heights and at the border of the forest.","In the meanwhile, Herbert, Pencroft, and the reporter <***> <***> with making traps on Prospect Heights and at the border of the forest.","occupied,occupies*themselves,ourselves",occupied*themselves,,S_V*R_A
"Looking at it in great disgust, he added, ""beasts which are good for nothing!""","<***> at it in great disgust, he added, ""beasts which <***> good for nothing!""","Looking,looks*are,is",Looking*are,,S_V
"The reporter was right, and the traps were henceforward baited with the foxes carcasses.","The reporter <***> right, and the traps <***> henceforward baited with the foxes carcasses.","was,is*were,are",was*were,,S_V
"The sailor had also made snares from the long tough fibers of a certain plant, and they were even more successful than the traps.","The sailor <***> also made snares from the long tough fibers of a certain plant, and they <***> even more successful than the traps.","had,has*were,was",had*were,,S_V
Rarely a day passed without some rabbits from the warren being caught.,Rarely a day <***> without some rabbits from the warren<***> caught.,"passed,passes*being,been",passed*being,,S_V
"It was always rabbit, but Neb knew how to vary his sauces and the settlers did not think of complaining.","It <***>always rabbit, but Neb <***> how to vary his sauces and the settlers did not think of complaining.","was,were*knew,knews",was*knew,,S_V
Pencroft had no need to ask if these beasts were eatable.,Pencroft <***> no need to ask if these beasts<***> eatable.,"had,has*were,was",had*were,,S_V
He could see that by their resemblance to the pig of America and Europe.,He <***> <***> that by their resemblance to the pig of America and Europe.,"could,would*see,saw",could*see,,S_V
"But these are not pigs, said Herbert to him, ""I warn you of that, Pencroft.""","But these <***> not pigs, said Herbert to him, ""I <***>you of that, Pencroft.""","are,is*warn,warns",are*warn,,S_V
"These peccaries generally live in herds, and it was probable that they abounded in the woody parts of the island.","These peccaries generally <***> in herds, and it <***>probable that they abounded in the woody parts of the island.","live,lives*was,were",live*was,,S_V
"At any rate, they were eatable from head to foot, and Pencroft did not ask more from them.","At any rate, they<***> eatable from head to foot, and Pencroft <***> ask more from them.","were,was*didn't,doesn't",were*didn't ,,S_V*N_P_I
"Towards the 15th of August, the state of the atmosphere was suddenly moderated by the wind shifting to the northwest.","Towards the 15th of August, the state of the atmosphere <***> suddenly <***> by the wind shifting to the northwest.","was,were*moderated,moderates",was*moderated,,S_V
"The temperature rose some degrees, and the accumulated vapor in the air was not long in resolving into snow.","The temperature <***> some degrees, and the accumulated vapor in the air <***> not long in resolving into snow.","rose,roses*was,were",rose*was,,S_V
"All the island was covered with a sheet of white, and showed itself to its inhabitants under a new aspect.","All the island <***> covered with a sheet of white, and showed <***> to its inhabitants under a new aspect.","was,were*itself,myself",was*itself,,S_V*R_A
"The snow fell abundantly for several days, and it soon reached a thickness of two feet.","The snow <***> abundantly for several days, and it soon <***> a thickness of two feet.","fell,felt*reached,reaches",fell*reached,,S_V
"The wind also blew with great violence, and at the height of Granite House the sea could be heard thundering against the reefs.","The wind also <***> with great violence, and at the height of Granite House the sea <***> be heard thundering against the reefs.","blew,blow*could,would",blew*could,,S_V
"However, the storm, coming from the northwest, blew across the island, and the position of Granite House preserved it from a direct attack.","However, the storm, coming from the northwest, <***> across the island, and the position of Granite House <***> it from a direct attack.","blew,blews*preserved,preserves",blew*preserved,,S_V
"They could hear the tempest raging in Jacamar Wood, which would surely suffer from it.","They<***> hear the tempest raging in Jacamar Wood, which <***>surely suffer from it.","could,would*would,should",could*would,,S_V
"The wind is turning woodman, let it alone, he repeated.","The wind<***> turning woodman, let it alone, he <***>.","is,are*repeated,repeats",is*repeated,,S_V
"Besides, there was no way of stopping it, if they had wished to do so.","Besides, there <***> no way of stopping it, if they <***> wished to do so.","was,were*had,has",was*had,,S_V
How grateful the inhabitants of Granite House then were to Heaven for having prepared for them this solid and immovable retreat!,How grateful the inhabitants of Granite House then <***> to Heaven for <***> prepared for them this solid and immovable retreat!,"were,was*having,has",were*having,,S_V
"There all were in safety, and the tempest could not reach them.","There all <***> in safety, and the tempest <***> reach them.","were,was*couldn't,wouldn't",were*couldn't,,S_V*N_P_I
"If they had constructed a house of bricks and wood on Prospect Heights, it certainly would not have resisted the fury of this storm.","If they <***> constructed a house of bricks and wood on Prospect Heights, it certainly <***> have resisted the fury of this storm.","had,has*wouldn't,shouldn't",had*wouldn't,,S_V*N_P_I
"As to the Chimneys, it must have been absolutely uninhabitable, for the sea, passing over the islet, would beat furiously against it.","As to the Chimneys, it must <***> been absolutely uninhabitable, for the sea, passing over the islet, <***>beat furiously against it.","have,has*would,should",have*would,,S_V
"Neb and Pencroft were very proud of this rather heavy furniture, which they would not have changed on any account.","Neb and Pencroft <***>very proud of this rather heavy furniture, which they<***> have changed on any account.","were,was*wouldn't,couldn't",were*wouldn't,,S_V*N_P_I
"Then the carpenters became basket-makers, and they did not succeed badly in this new manufacture.","Then the carpenters <***> basket-makers, and they <***>succeed badly in this new manufacture.","became,become*didn't,doesn't",became*didn't,,S_V*N_P_I
"Before the rainy season, Pencroft and Herbert had cut down these useful shrubs, and their branches, well prepared, could now be effectively employed.","Before the rainy season, Pencroft and Herbert <***> cut down these useful shrubs, and their branches, well prepared, <***> now be effectively employed.","had,has*could,would",had*could,,S_V
"The storeroom was provided with them, and in special baskets Neb placed his collection of rhizomes, stone-pine almonds, etc.","The storeroom <***> provided with them, and in special baskets Neb <***> his collection of rhizomes, stone-pine almonds, etc.","was,were*placed,places",was*placed,,S_V
"The temperature fell a little, and the tempest abated.","The temperature <***> a little, and the tempest <***>.","fell,felt*abated,abate",fell*abated,,S_V
"There was certainly two feet of snow on the shore, but they were able to walk without much difficulty on the hardened surface.","There <***> certainly two feet of snow on the shore, but they <***> able to walk without much difficulty on the hardened surface.","was,were*were,was",was*were,,S_V
"The woods, which they had left green, especially in the part at which the firs predominated, had disappeared under a uniform color.","The woods, which they <***> left green, especially in the part at which the firs predominated, <***> disappeared under a uniform color.","had,have*had,has",had*had,,S_V
"All was white, it was from the summit of Mount Franklin to the shore, the forests, the plains, the lake, the river.","All <***> white, it <***> from the summit of Mount Franklin to the shore, the forests, the plains, the lake, the river.","was,is*was,were",was*was,,S_V
The rocks among which the cascade flowed were bristling with icicles.,The rocks among which the cascade <***> <***> bristling with icicles.,"flowed,flows*were,was",flowed*were,,S_V
"One might have said that the water escaped by a monstrous gargoyle, shaped with all the imagination of an artist of the Renaissance.","One might <***>said that the water <***> by a monstrous gargoyle, shaped with all the imagination of an artist of the Renaissance.","have,has*escaped,escapes",have*escaped ,,S_V
"Gideon Spilett, Pencroft, and Herbert did not miss this opportunity of going to visit their traps.","Gideon Spilett, Pencroft, and Herbert <***> miss this opportunity of <***> to visit their traps.","didn't,doesn't*going,gone",didn't*going,,N_P_I*S_V
"They did not find them easily, under the snow with which they were covered.","They <***>find them easily, under the snow with which they <***> covered.","didn't,doesn't*were,was",didn't*were,,N_P_I*S_V
"But happily they avoided this unpleasantness, and found their traps perfectly intact.","But happily they <***> this unpleasantness, and found their <***> perfectly intact.","avoided,avoids*traps,trap",avoided*traps,,S_V
"No animal had fallen into them, and yet the footprints in the neighborhood were very numerous, among others, certain very clear marks of claws.","No animal <***> fallen into them, and yet the footprints in the neighborhood <***> very numerous, among others, certain very clear marks of claws.","had,has*were,was",had*were,,S_V
"These animals doubtless generally lived in the forests of the Far West, but pressed by hunger, they had ventured as far as Prospect Heights.","These animals doubtless generally<***> in the forests of the Far West, but pressed by hunger, they <***> ventured as far as Prospect Heights.","lived,lives*had,have",lived*had,,S_V
I thought those beasts were only found in hot countries?,I <***> those beasts<***> only found in hot countries?,"thought,think*were,was",thought*were,,S_V
"On the new continent, replied the lad, ""they are found from Mexico to the Pampas of Buenos Aires.","On the new continent, <***> the lad, ""they <***> found from Mexico to the Pampas of Buenos Aires.","replied,replies*are,is",replied*are,,S_V
"Well, we must look out for them, replied Pencroft.","Well, we <***> look out for them, <***> Pencroft.","must,might*replied,replies",must*replied,,S_V
"However, the snow soon disappeared, quickly dissolving under the influence of the rising temperature.","However, the snow soon <***>, quickly <***> under the influence of the rising temperature.","disappeared,disappears*dissolving,dissolves",disappeared*dissolving,,S_V
"This necessitated several excursions into the forest, and they found that a great number of trees had been blown down by the last hurricane.","This necessitated several excursions into the forest, and they <***> that a great number of trees <***>  been blown down by the last hurricane.","found,find*had,has ",found*had been,,S_V
"Pencroft and Neb also pushed with the cart as far as the vein of coal, and brought back several tons of fuel.","Pencroft and Neb also <***> with the cart as far as the vein of coal, and <***> back several tons of fuel.","pushed,pushes*brought,buy",pushed*brought,,S_V
They could see that the cold period was not ended.,They <***> see that the cold period <***>ended.,"could,would*wasn't,weren't",could*wasn't,,S_V*N_P_I
"Sweeping over the islet, it had furiously assailed the passages, half filling them with sand, while thick beds of seaweed covered the rocks.","Sweeping over the islet, it <***> furiously assailed the passages, half filling them with sand, while thick beds of seaweed <***> the rocks.","had,has*covered,covers",had*covered,,S_V
"It is known that, in the Northern Hemisphere, the month of February is principally distinguished by rapid fallings of the temperature.","It <***> known that, in the Northern Hemisphere, the month of February<***> principally distinguished by rapid fallings of the temperature.","is,are*is,was",is*is,,S_V
"About the 25th, after another change from snow to rain, the wind shifted to the southeast, and the cold became, suddenly, very severe.","About the 25th, after another change from snow to rain, the wind <***> to the southeast, and the cold <***>, suddenly, very severe.","shifted,shifts*became,become",shifted*became,,S_V
"To economize them, the cavern was often only lighted by the blazing hearths, on which fuel was not spared.","To economize them, the cavern <***> often only lighted by the blazing hearths, on which fuel <***> not spared.","was,were*was,is",was*was,,S_V
"In consequence of the intense cold, their fingers felt as if burned when they touched the rounds.","In consequence of the intense cold, their fingers<***> as if burned when they<***> the rounds.","felt,fell*touched,touches",felt*touched,,S_V
"But there was something better to be made of it, and one day Cyrus Harding announced that they were going to turn into refiners.","But there <***> something better to be made of it, and one day Cyrus Harding <***> that they were going to turn into refiners.","was,were*announced,announces",was*announced,,S_V
This word refining need not awake in the mind thoughts of an elaborate manufactory with apparatus and numerous workmen.,This word <***> <***>awake in the mind thoughts of an elaborate manufactory with apparatus and numerous workmen.,"refining,refines*needn't,wouldn't",refining*needn't,,S_V*N_P_I
"No! to crystallize this liquor, only an extremely easy operation is required.","<***>! to crystallize this liquor, only an extremely easy operation <***> required.","No,never*is,was",No*is,,N_P_I*S_V
"Placed on the fire in large earthen pots, it was simply subjected to evaporation, and soon a scum arose to its surface.","Placed on the fire in large earthen pots, it <***> simply subjected to evaporation, and soon a scum <***> to its surface.","was,were*arose,arise",was*arose,,S_V
"This syrup was poured into clay molds, previously fabricated in the kitchen stove, and to which they had given various shapes.","This syrup <***> poured into clay molds, previously fabricated in the kitchen stove, and to which they <***> given various shapes.","was,is*had,have",was*had,,S_V
"The next day this syrup had become cold, and formed cakes and tablets.","The next day this syrup <***> become cold, and <***>cakes and tablets.","had,have*formed,forms",had*formed,,S_V
"This was sugar of rather a reddish color, but  was nearly transparent and of a delicious taste.","This <***> sugar of rather a reddish color, but  <***> nearly transparent and of a delicious taste.","was,were*was,is",was*was,,S_V
"The cold continued to the middle of September, and the prisoners in Granite House began to find their captivity rather tedious.","The cold <***> to the middle of September, and the prisoners in Granite House <***> to find their captivity rather tedious.","continued,continues*began,begun",continued*began,,S_V
Nearly every day they attempted sorties which they could not prolong.,Nearly every day they <***>sorties which they <***> prolong.,"attempted,attempts*couldn't,wouldn't",attempted*couldn't,,S_V*N_P_I
"Harding instructed his companions in many things, principally explaining to them the practical applications of science.","Harding<***>his companions in many things, principally <***> to them the practical applications of science.","instructed,instructs*explaining,explains",instructed*explaining,,S_V
"The time thus passed away pleasantly, these brave men not appearing to have any fears for the future.","The time thus passed away pleasantly, these brave men <***> appearing to <***> any fears for the future.","not,never*have,has",not*have,,N_P_I*S_V
"However, all were anxious to see, if not the fine season, at least the cessation of the insupportable cold.","However, all <***> anxious to see, if <***> the fine season, at least the cessation of the insupportable cold.","were,was*not,none",were*not ,,S_V*N_P_I
"Game would have been easily approached, and the chase would certainly have been most productive.","Game <***> have been easily approached, and the chase <***> certainly have been most productive.","would,should*would,could",would*would,,S_V
"But it must be said, that the one who was most impatient of this imprisonment, after Pencroft perhaps, was Top.","But it <***> be said, that the one who <***> most impatient of this imprisonment, after Pencroft perhaps, was Top.","must,might*was,were",must*was,,S_V
"He ran backwards and forwards from one room to another, showing in his way how weary he was of being shut up.","He <***> backwards and forwards from one room to another, showing in his way how weary he <***> of being shut up.","ran,run*was,were",ran*was,,S_V
"He ran round and round this hole, which had been covered with a wooden lid.","He <***> round and round this hole, which <***> been covered with a wooden lid.","ran,run*had,have",ran*had,,S_V
"Sometimes even he tried to put his paws under the lid, as if he wished to raise it.","Sometimes even he<***> to put his paws under the lid, as if he <***> to raise it.","tried,tries*wished,wishes",tried*wished,,S_V
"He then yelped in a peculiar way, which showed at once anger and uneasiness.","He then <***> in a peculiar way, which <***> at once anger and uneasiness.","helped,helps*showed,shows",helped*showed,,S_V
What could there be in this abyss to make such an impression on the intelligent animal?,What <***> there be in this abyss to <***> such an impression on the intelligent animal?,"could,would*make,makes",could*make,,S_V
"The well led to the sea, that was certain.","The well <***> to the sea, that <***> certain.","led,lead*was,were",led*was,,S_V
Could narrow passages spread from it through the foundations of the island?,<***> narrow passages <***> from it through the foundations of the island?,"Could,would*spread,spreads",Could*spread,,S_V
"Did some marine monster come from time to time, to breathe at the bottom of this well?","<***> some marine monster come from time to time, to<***> at the bottom of this well?","Did,does*breathe,breathes",Did*breathe,,S_V
"The engineer did not know what to think, and could not refrain from dreaming of many strange improbabilities.","The engineer <***>know what to think, and <***> not refrain from dreaming of many strange improbabilities.","didn't,doesn't*could,would",didn't*could,,N_P_I*S_V
Top's conduct puzzled Cyrus Harding even more than he cared to acknowledge to himself.,Top's conduct <***>Cyrus Harding even more than he cared to acknowledge to <***>.,"puzzled,puzzles*himself,herself",puzzled*himself,,S_V*R_A
"There had been rain, squalls mingled with snow, hailstorms, gusts of wind, but these inclemencies did not last.","There <***> been rain, squalls mingled with snow, hailstorms, gusts of wind, but these inclemencies <***> last.","had,has*didn't,doesn't",had*didn't,,S_V*N_P_I
"The ice melted, the snow disappeared; the shore, the plateau, the banks of the Mercy, the forest, again became practicable.","The ice melted, the snow <***>; the shore, the plateau, the banks of the Mercy, the forest, again<***> practicable.","disappeared,disappears*became,become",disappeared*became,,S_V
"This return of spring delighted the tenants of Granite House, and they soon only passed it in the hours necessary for eating and sleeping.","This return of spring <***> the tenants of Granite House, and they soon only <***> it in the hours necessary for eating and sleeping.","delighted,delights*passed,passes",delighted*passed,,S_V
"If, which may be doubted, said he, ""the island is inhabited by wild beasts, we must think how to fight with and exterminate them.","If, which <***> be doubted, said he, ""the island <***> inhabited by wild beasts, we must think how to fight with and exterminate them.","may,might*is,are",may*is,,S_V
"A time may come when this will be our first duty.""","A time <***> come when this<***>be our first duty.""","may,might*will,shall",may*will,,S_V
"But at this period, it was not the question of firearms which occupied Harding, but that of clothes.","But at this period, it <***> not the question of firearms which<***> Harding, but that of clothes.","was,were*occupied,occupies",was*occupied,,S_V
"Those which the settlers wore had passed this winter, but they would not last until next winter.","Those which the settlers <***> had passed this winter, but they <***> last until next winter.","wore,wores*wouldn't,shouldn't",wore*wouldn't,,S_V*N_P_I
"But this needed settled weather, and a month must pass before this exploration could be profitably undertaken.","But this needed settled weather, and a month <***> pass before this exploration <***> be profitably undertaken.","must,might*could,would",must*could,,S_V
"They therefore waited with some impatience, when an incident occurred which increased the desire the settlers had to visit the whole of their domain.","They therefore waited with some impatience, when an incident <***>which increased the desire the settlers <***> to visit the whole of their domain.","occurred,occurs*had,have",occurred*had,,S_V
"On this day, Pencroft had gone to visit his traps, which he always kept properly baited.","On this day, Pencroft <***> gone to visit his traps, which he always <***> properly baited.","had,have*keep,kept",had*kept,,S_V
In one of them he found three animals which would be very welcome for the larder.,In one of them he <***> three animals which <***> be very welcome for the larder.,"found,find*would,should",found*would,,S_V
"Pencroft then returned to Granite House, enchanted with his capture, and, as usual, he made a great show of his game.","Pencroft then <***> to Granite House, enchanted with his capture, and, as usual, he <***> a great show of his game.","returned,returns*made,mades",returned*made,,S_V
"Come, we shall have a grand feast, captain! he exclaimed.","Come, we <***> have a grand feast, captain! he <***>.","shall,will*exclaimed,exclaims",shall*exclaimed,,S_V
"I shall be very happy, replied the reporter; ""but what is it that I am going to eat?""","I <***> be very happy, replied the reporter; ""but what <***> it that I am going to eat?""","shall,will*is,are",shall*is,,S_V
"To hear you, I thought that you were bringing back a young partridge stuffed with truffles!""","To hear you, I <***> that you <***> bringing back a young partridge stuffed with truffles!""","thought,think*were,are",thought*were,,S_V
"That's right, that's right, returned the sailor, who was not pleased whenever he heard his chase made light of.","That's right, that's right, <***> the sailor, who <***> not pleased whenever he heard his chase made light of.","returned,returns*was,were",returned*was,,S_V
"Seven months ago, when we landed on the island, you would have been only too glad to have met with such game!""","Seven months ago, when we <***> on the island, you <***> have been only too glad to have met with such game!""","landed,lands*would,should",landed*would ,,S_V
"Well, well, replied the reporter, ""man is never perfect, nor contented.""","Well, well, <***> the reporter, ""man <***>never perfect, nor contented.""","replied,replies*is,are",replied*is,,S_V
"Now, said Pencroft, ""I hope that Neb will distinguish himself.","Now, said Pencroft, ""I <***> that Neb will distinguish <***>.","hope,hopes*himself,themselves ",hope*himself,,S_V*R_A
These two little peccaries are not more than three months old!,These two little peccaries<***><***> more than three months old!,"are,is*not,none",are*not,,S_V*N_P_I
"And the sailor, followed by Neb, entered the kitchen, where they were soon absorbed in their culinary labors.","And the sailor, <***> by Neb, entered the kitchen, where they<***> soon absorbed in their culinary labors.","followed,follows*were,was",followed*were,,S_V
The matter? the matter is that I have just broken a tooth! replied the sailor.,The matter? the matter <***> that I <***> just broken a tooth! replied the sailor.,"is,are*have,has",is*have,,S_V
"What, are there pebbles in your peccaries? said Gideon Spilett.","What, <***> there pebbles in your peccaries? <***> Gideon Spilett.","are,is*said,says",are*said,,S_V
"I suppose so, replied Pencroft, drawing from his lips the object which had cost him a grinder--!","I <***> so, replied Pencroft, drawing from his lips the object which<***> cost him a grinder--!","suppose,supposes*had,has",suppose*had,,S_V
It was not a pebble--it was a leaden bullet.,It <***> not a pebble--it <***> a leaden bullet.,"was,is*was,were",was*was,,S_V
It was now exactly seven months since the balloon voyagers had been thrown on Lincoln Island.,It <***> now exactly seven months since the balloon voyagers <***> been thrown on Lincoln Island.,"was,were*had,have",was*had,,S_V
"During that time, notwithstanding the researches they had made, no human being had been discovered.","During that time, notwithstanding the researches they <***> made, no human being <***> been discovered.","had,has*had,have",had*had,,S_V
No smoke even had betrayed the presence of man on the surface of the island.,No smoke even <***><***> the presence of man on the surface of the island.,"had,had*betrayed,betrays",had*betrayed,,S_V
No vestiges of his handiwork showed that either at an early or at a late period had man lived there.,No vestiges of his handiwork<***> that either at an early or at a late period <***> man lived there.,"showed,shows*had,has",showed*had,,S_V
"And now, all this scaffolding of reasonings fell before a simple ball of metal, found in the body of an inoffensive rodent!","And now, all this scaffolding of reasonings <***>before a simple ball of metal,<***> in the body of an inoffensive rodent!","fell,fall*found,founds",fell*found,,S_V
"In fact, this bullet must have issued from a firearm, and who but a human being could have used such a weapon?","In fact, this bullet <***>have issued from a firearm, and who but a human being could <***> used such a weapon?","must,might*have,has",must*have,,S_V
"When Pencroft had placed the bullet on the table, his companions looked at it with intense astonishment.","When Pencroft <***> placed the bullet on the table, his companions <***>at it with intense astonishment.","had,has*looked,looks",had*looked,,S_V
"All the consequences likely to result from this incident, not withstanding its apparent insignificance, immediately took possession of their minds.","All the consequences likely to result from this incident, <***> withstanding its apparent insignificance, immediately <***> possession of their minds.","not,never*took,take",not*took,,N_P_I*S_V
The sudden apparition of a supernatural being could not have startled them more completely.,The sudden apparition of a supernatural being <***> <***> startled them more completely.,"couldn't,wouldn't*have,has",couldn't*have,,N_P_I*S_V
"He took the bullet, turned it over and over, rolled it between his finger and thumb; then, turning to Pencroft, he asked,--","He <***> the bullet, turned it over and over, <***> it between his finger and thumb; then, turning to Pencroft, he asked,--","took,take*rolled,rolls",took*rolled,,S_V
Are you sure that the peccary wounded by this bullet was not more than three months old?,<***> you sure that the peccary wounded by this bullet <***> not more than three months old?,"Are,is*was,were",Are*was,,S_V
It was still sucking its mother when I found it in the trap.,It <***> still sucking its mother when I <***> it in the trap.,"was,were*found,find",was*found,,S_V
"Well, said the engineer, ""that proves that within three months a gun-shot was fired in Lincoln Island.""","Well, said the engineer, ""that <***> that within three months a gun-shot <***> fired in Lincoln Island.""","proves,proves*was,were",proves*was,,S_V
Few poems that the poet read to his wife will ever be appreciated as they are both long gone and he never released them ,<***> poems that <***> poet read to his wife will ever be appreciated as they are both long gone and he never released them ,"Few,the*the,few",Few*the,,S_V
"Did these men arrive here voluntarily or involuntarily, by disembarking on the shore or by being wrecked?","<***>  these men <***>  here voluntarily or involuntarily, by disembarking on the shore or by being wrecked?","Did,does*arrive,arrives ",Did*arrive ,,S_V
"But these questions are of too much importance to be allowed to remain long unsettled.""","But these questions <***>  of too much importance to be <***>  to remain long unsettled.""","are,is*allowed,allows",are*allowed,,S_V
"No! a hundred times no! a thousand times no! cried the sailor, springing up from the table.","<***> ! a hundred times no! a thousand times no! <***>  the sailor, springing up from the table.","No,never*cried,cries",No*cried,,N_P_I*S_V
"As the war was coming to an end, enemies sourrounding them, the captain said There are no other men braver than ourselves on Lincoln Island!","As the war was coming to an end, enemies sourrounding them, the captain said There <***>  no other men than <***>  on Lincoln Island!","are,is*ourselves,themselves ",are*ourselves,,S_V*R_A
"The island isn't large and if it had been inhabited, we should have seen some of the inhabitants long before this!","The island <***>  large and if it had been inhabited, we <***>  have seen some of the inhabitants long before this!","isn't,aren't*should,shouldn't",isn't*should,,N_P_I*S_V
"In fact, the contrary would be very astonishing, said Herbert.","In fact, the contrary <***>  be very astonishing, <***> Herbert.","would,should*said,says",would*said,,S_V
"At least, said Neb seriously, ""if Pencroft has not had--""","At least, <***>  Neb seriously, ""if Pencroft <***>  had--""","said,says*hasn't,have",said*has'nt,,S_V*N_P_I
Do you think I could have a bullet in my jaw for five or six months without finding it out?,<***>  you think I could <***> a bullet in my jaw for five or six months without finding it out?,"Do,does*have,had",Do*have,,S_V
"Where could it be hidden? he asked, opening his mouth to show the two-and-thirty teeth with which it was furnished.","Where <***>  it be hidden? he asked, opening his mouth to show the two-and-thirty teeth with which it <***>  furnished.","could,would*was,were",could*was,,S_V
"Look well, Neb, and if you find one hollow tooth in this set, I will let you pull out half a dozen!","Look well, Neb, and if you <***>  one hollow tooth in this set, I will let <***> pull out half a dozen!","find,finds*you,your",find*you,,S_V
"Few of his colleagues will ever be forgotten, for all the bravery they have shown ","<***> of his colleagues will ever be forgotten, for all the bravery they <***> shown ","Few,some*have,has",Few*have,,S_V*N_P_I
"It is therefore, probable that within only a few weeks castaways have been thrown by a storm on some part of the coast.","It <***>  therefore, probable that within only a few weeks castaways <***>  been thrown by a storm on some part of the coast.","is,are*have,has",is*have,,S_V
"I think that we should act with caution, said the reporter.","I <***>  that we <***>  act with caution, said the reporter.","think,thinks*should,would",think*should,,S_V
"Such is my advice, replied Cyrus Harding, ""for it is to be feared that Malay pirates have landed on the island!""","Such <***>  my advice, replied Cyrus Harding, ""for it<***>  to be feared that Malay pirates have landed on the island!""","is,are*is,was",is*is,,S_V
"But till that time we must be very watchful, said Herbert.","But till that time we <***> be very watchful, <***>  Herbert.","must,might*said,says",must*said,,S_V
"Very watchful indeed, my friends, replied Harding; ""and I beg you to confine your hunting excursions to the neighborhood of Granite House.""","Very watchful indeed, my friends, <***>  Harding; ""and I <***>  you to confine your hunting excursions to the neighborhood of Granite House.""","replied,replies*beg,begs",replied*beg ,,S_V
The dinner ended less gaily than Pencroft had hoped.,The dinner <***>  less gaily than Pencroft<***>  hoped.,"ended,ends*had,have",ended*had,,S_V
"So, then, the island was, or had been, inhabited by others than the settlers.","So, then, the island <***> , or had been, <***>  by others than the settlers.","was,were*inhabited ,inhabits",was*inhabited ,,S_V
"Cyrus Harding and Gideon Spilett, before sleeping, conversed long about the matter.","Cyrus Harding and Gideon Spilett, before <***> , <***>  long about the matter.","sleeping,sleeps*conversed,converse",sleeping*conversed,,S_V
"However, Cyrus Harding, after having discussed the pros and cons of the question, ended by saying,--","However, Cyrus Harding, after <***>  discussed the pros and cons of the question, ended by <***> ,--","having,have*saying,says",having*saying,,S_V
